Month,Year,Month-Year,US New Home Sales,US New Home Sales (seasonnally adjusted),States,east,West,,,States,east,West,,
1,2000,1/1/2000,"67,000","873,000",67,5,9,33,20,873,76,145,397,255
2,2000,2/1/2000,"78,000","856,000",78,7,14,37,20,856,70,163,401,222
3,2000,3/1/2000,"88,000","900,000",88,7,18,38,26,900,75,169,395,261
4,2000,4/1/2000,"78,000","841,000",78,7,14,36,22,841,75,138,399,229
5,2000,5/1/2000,"77,000","857,000",77,6,14,37,20,857,70,151,408,228
6,2000,6/1/2000,"71,000","793,000",71,7,14,33,17,793,73,147,380,193
7,2000,7/1/2000,"76,000","887,000",76,5,15,35,22,887,64,170,402,251
8,2000,8/1/2000,"73,000","848,000",73,6,12,33,22,848,63,144,395,246
9,2000,9/1/2000,"70,000","912,000",70,6,12,32,20,912,69,163,421,259
10,2000,10/1/2000,"71,000","933,000",71,6,13,31,20,933,87,161,420,265
11,2000,11/1/2000,"63,000","880,000",63,5,11,30,17,880,68,146,418,248
12,2000,12/1/2000,"65,000","983,000",65,5,10,31,19,983,65,173,449,296
1,2001,1/1/2001,"72,000","936,000",72,4,11,35,22,936,56,171,435,274
2,2001,2/1/2001,"85,000","963,000",85,7,14,40,25,963,70,168,447,278
3,2001,3/1/2001,"94,000","939,000",94,7,19,43,24,939,75,189,439,236
4,2001,4/1/2001,"84,000","909,000",84,7,16,38,23,909,70,163,436,240
5,2001,5/1/2001,"80,000","885,000",80,5,14,40,21,885,55,152,444,234
6,2001,6/1/2001,"79,000","882,000",79,5,16,37,21,882,61,171,415,235
7,2001,7/1/2001,"76,000","880,000",76,6,13,37,20,880,72,154,424,230
8,2001,8/1/2001,"74,000","866,000",74,6,13,36,20,866,65,147,423,231
9,2001,9/1/2001,"66,000","853,000",66,4,12,33,16,853,51,161,429,212
10,2001,10/1/2001,"66,000","871,000",66,5,12,33,16,871,67,153,440,211
11,2001,11/1/2001,"67,000","924,000",67,5,13,35,14,924,70,171,472,211
12,2001,12/1/2001,"66,000","979,000",66,5,10,33,18,979,73,162,464,280
1,2002,1/1/2002,"66,000","880,000",66,5,12,32,18,880,67,180,399,234
2,2002,2/1/2002,"84,000","948,000",84,6,15,40,23,948,66,173,450,259
3,2002,3/1/2002,"90,000","923,000",90,6,16,41,27,923,65,154,430,274
4,2002,4/1/2002,"86,000","936,000",86,6,17,39,25,936,58,171,438,269
5,2002,5/1/2002,"88,000","978,000",88,6,17,39,25,978,70,183,442,283
6,2002,6/1/2002,"84,000","957,000",84,6,15,37,26,957,71,158,442,286
7,2002,7/1/2002,"82,000","956,000",82,5,16,39,22,956,63,186,456,251
8,2002,8/1/2002,"90,000","1,014,000",90,5,18,43,25,"1,014",55,205,471,283
9,2002,9/1/2002,"82,000","1,044,000",82,8,15,38,21,"1,044",83,197,488,276
10,2002,10/1/2002,"77,000","1,006,000",77,5,14,35,23,"1,006",61,182,465,298
11,2002,11/1/2002,"73,000","1,024,000",73,4,16,34,20,"1,024",63,217,454,290
12,2002,12/1/2002,"70,000","1,048,000",70,4,15,34,17,"1,048",55,255,470,268
1,2003,1/1/2003,"76,000","999,000",76,6,12,37,22,999,77,179,459,284
2,2003,2/1/2003,"82,000","936,000",82,4,15,39,23,936,49,183,447,257
3,2003,3/1/2003,"98,000","999,000",98,9,17,47,25,999,92,170,487,250
4,2003,4/1/2003,"91,000","1,012,000",91,7,17,40,27,"1,012",75,175,473,289
5,2003,5/1/2003,"101,000","1,078,000",101,6,15,50,29,"1,078",72,165,519,322
6,2003,6/1/2003,"107,000","1,193,000",107,8,18,48,33,"1,193",77,196,549,371
7,2003,7/1/2003,"99,000","1,168,000",99,6,20,47,26,"1,168",83,218,557,310
8,2003,8/1/2003,"105,000","1,206,000",105,6,23,48,28,"1,206",78,256,558,314
9,2003,9/1/2003,"90,000","1,131,000",90,8,15,42,25,"1,131",88,192,523,328
10,2003,10/1/2003,"88,000","1,144,000",88,7,16,40,25,"1,144",84,195,547,318
11,2003,11/1/2003,"76,000","1,093,000",76,6,12,37,22,"1,093",88,156,527,322
12,2003,12/1/2003,"75,000","1,129,000",75,7,11,36,21,"1,129",98,180,515,336
1,2004,1/1/2004,"89,000","1,165,000",89,7,14,46,23,"1,165",103,225,545,292
2,2004,2/1/2004,"102,000","1,159,000",102,8,16,47,31,"1,159",84,192,532,351
3,2004,3/1/2004,"123,000","1,276,000",123,8,19,59,38,"1,276",86,196,620,374
4,2004,4/1/2004,"109,000","1,186,000",109,9,20,47,33,"1,186",85,212,540,349
5,2004,5/1/2004,"115,000","1,241,000",115,10,19,53,33,"1,241",102,206,576,357
6,2004,6/1/2004,"105,000","1,180,000",105,6,18,50,30,"1,180",74,192,575,339
7,2004,7/1/2004,"96,000","1,088,000",96,4,20,44,27,"1,088",54,219,490,325
8,2004,8/1/2004,"102,000","1,175,000",102,6,19,47,30,"1,175",65,220,551,339
9,2004,9/1/2004,"94,000","1,214,000",94,7,17,42,28,"1,214",81,222,553,358
10,2004,10/1/2004,"101,000","1,305,000",101,8,20,40,33,"1,305",104,249,537,415
11,2004,11/1/2004,"84,000","1,179,000",84,6,12,44,23,"1,179",82,159,597,341
12,2004,12/1/2004,"83,000","1,242,000",83,5,15,43,20,"1,242",66,240,616,320
1,2005,1/1/2005,"92,000","1,203,000",92,4,12,50,25,"1,203",67,186,618,332
2,2005,2/1/2005,"109,000","1,319,000",109,7,15,56,31,"1,319",85,183,697,354
3,2005,3/1/2005,"127,000","1,328,000",127,7,21,62,37,"1,328",78,215,669,366
4,2005,4/1/2005,"116,000","1,260,000",116,9,20,54,33,"1,260",99,210,597,354
5,2005,5/1/2005,"120,000","1,286,000",120,9,22,55,34,"1,286",91,237,593,365
6,2005,6/1/2005,"115,000","1,274,000",115,8,22,55,30,"1,274",83,231,620,340
7,2005,7/1/2005,"117,000","1,389,000",117,8,19,54,36,"1,389",100,208,645,436
8,2005,8/1/2005,"110,000","1,255,000",110,6,17,56,31,"1,255",80,195,628,352
9,2005,9/1/2005,"99,000","1,244,000",99,6,17,51,25,"1,244",62,215,643,324
10,2005,10/1/2005,"105,000","1,336,000",105,6,15,51,32,"1,336",78,186,668,404
11,2005,11/1/2005,"86,000","1,214,000",86,6,13,46,22,"1,214",85,171,636,322
12,2005,12/1/2005,"87,000","1,239,000",87,5,13,49,20,"1,239",69,201,644,325
1,2006,1/1/2006,"89,000","1,174,000",89,4,11,47,26,"1,174",65,174,600,335
2,2006,2/1/2006,"88,000","1,061,000",88,6,15,46,22,"1,061",65,187,562,247
3,2006,3/1/2006,"108,000","1,116,000",108,6,16,55,31,"1,116",59,168,584,305
4,2006,4/1/2006,"100,000","1,123,000",100,5,16,52,27,"1,123",56,168,609,290
5,2006,5/1/2006,"102,000","1,086,000",102,6,17,54,25,"1,086",65,177,581,263
6,2006,6/1/2006,"98,000","1,074,000",98,6,16,51,25,"1,074",63,172,561,278
7,2006,7/1/2006,"83,000","965,000",83,5,12,43,22,965,63,140,499,263
8,2006,8/1/2006,"88,000","1,035,000",88,7,13,49,19,"1,035",88,152,577,218
9,2006,9/1/2006,"80,000","1,016,000",80,5,11,44,20,"1,016",62,141,562,251
10,2006,10/1/2006,"74,000","941,000",74,3,11,40,20,941,38,136,517,250
11,2006,11/1/2006,"71,000","1,003,000",71,5,11,39,16,"1,003",66,155,545,237
12,2006,12/1/2006,"71,000","998,000",71,5,12,39,15,998,73,166,510,249
1,2007,1/1/2007,"66,000","891,000",66,4,11,38,13,891,60,165,496,170
2,2007,2/1/2007,"68,000","828,000",68,4,10,36,18,828,50,128,445,205
3,2007,3/1/2007,"80,000","833,000",80,7,12,40,21,833,88,130,413,202
4,2007,4/1/2007,"83,000","887,000",83,9,11,43,20,887,85,121,475,206
5,2007,5/1/2007,"79,000","842,000",79,8,14,39,19,842,83,139,420,200
6,2007,6/1/2007,"73,000","793,000",73,6,11,41,15,793,65,113,440,175
7,2007,7/1/2007,"68,000","778,000",68,4,9,36,18,778,48,105,415,210
8,2007,8/1/2007,"60,000","699,000",60,5,11,31,13,699,59,118,362,160
9,2007,9/1/2007,"53,000","686,000",53,5,8,27,14,686,63,102,350,171
10,2007,10/1/2007,"57,000","727,000",57,5,10,30,12,727,62,127,386,152
11,2007,11/1/2007,"45,000","641,000",45,4,6,25,10,641,52,90,349,150
12,2007,12/1/2007,"44,000","619,000",44,4,5,26,8,619,54,76,354,135
1,2008,1/1/2008,"44,000","627,000",44,3,5,24,11,627,50,78,342,157
2,2008,2/1/2008,"48,000","593,000",48,3,6,26,12,593,43,79,324,147
3,2008,3/1/2008,"49,000","535,000",49,2,7,28,12,535,30,75,306,124
4,2008,4/1/2008,"49,000","536,000",49,4,8,25,12,536,40,82,287,127
5,2008,5/1/2008,"49,000","504,000",49,3,7,27,11,504,31,73,286,114
6,2008,6/1/2008,"45,000","487,000",45,3,7,25,10,487,34,68,274,111
7,2008,7/1/2008,"43,000","477,000",43,3,6,24,11,477,39,65,257,116
8,2008,8/1/2008,"38,000","435,000",38,2,7,21,8,435,28,71,246,90
9,2008,9/1/2008,"35,000","433,000",35,2,5,20,8,433,25,62,246,100
10,2008,10/1/2008,"32,000","393,000",32,3,5,17,7,393,35,64,210,84
11,2008,11/1/2008,"27,000","389,000",27,3,4,15,6,389,39,54,207,89
12,2008,12/1/2008,"26,000","377,000",26,2,4,14,6,377,30,60,192,95
1,2009,1/1/2009,"24,000","336,000",24,2,3,14,5,336,28,52,186,70
2,2009,2/1/2009,"29,000","372,000",29,2,4,17,6,372,31,53,217,71
3,2009,3/1/2009,"31,000","339,000",31,2,4,18,7,339,21,45,198,75
4,2009,4/1/2009,"32,000","337,000",32,2,4,18,7,337,20,39,201,77
5,2009,5/1/2009,"34,000","376,000",34,2,5,19,9,376,26,50,210,90
6,2009,6/1/2009,"37,000","393,000",37,3,6,19,10,393,34,58,195,106
7,2009,7/1/2009,"38,000","411,000",38,4,5,20,9,411,42,57,215,97
8,2009,8/1/2009,"36,000","418,000",36,3,5,19,9,418,36,56,218,108
