"U.S. Census Bureau"
"Source: New Home Sales"
"New Single-family Houses Sold: United States"
"Not Seasonally Adjusted All Houses [Thousands of Units]"
"Period: 2011 to 2020"
"Data Extracted on: October 10, 2020 (4:04 pm)"

Period,Value
Jan-2011,21
Feb-2011,22
Mar-2011,28
Apr-2011,30
May-2011,28
Jun-2011,28
Jul-2011,27
Aug-2011,25
Sep-2011,24
Oct-2011,25
Nov-2011,23
Dec-2011,24
Jan-2012,23
Feb-2012,30
Mar-2012,34
Apr-2012,34
May-2012,35
Jun-2012,34
Jul-2012,33
Aug-2012,31
Sep-2012,30
Oct-2012,29
Nov-2012,28
Dec-2012,28
Jan-2013,32
Feb-2013,36
Mar-2013,41
Apr-2013,43
May-2013,40
Jun-2013,43
Jul-2013,33
Aug-2013,31
Sep-2013,31
Oct-2013,36
Nov-2013,32
Dec-2013,31
Jan-2014,33
Feb-2014,35
Mar-2014,39
Apr-2014,39
May-2014,43
Jun-2014,38
Jul-2014,35
Aug-2014,36
Sep-2014,37
Oct-2014,38
Nov-2014,31
Dec-2014,35
Jan-2015,39
Feb-2015,45
Mar-2015,46
Apr-2015,48
May-2015,47
Jun-2015,44
Jul-2015,43
Aug-2015,41
Sep-2015,35
Oct-2015,39
Nov-2015,36
Dec-2015,38
Jan-2016,39
Feb-2016,45
Mar-2016,50
Apr-2016,55
May-2016,53
Jun-2016,50
Jul-2016,54
Aug-2016,46
Sep-2016,44
Oct-2016,46
Nov-2016,40
Dec-2016,39
Jan-2017,45
Feb-2017,51
Mar-2017,61
Apr-2017,56
May-2017,57
Jun-2017,56
Jul-2017,48
Aug-2017,45
Sep-2017,50
Oct-2017,49
Nov-2017,50
Dec-2017,45
Jan-2018,48
Feb-2018,54
Mar-2018,66
Apr-2018,61
May-2018,62
Jun-2018,56
Jul-2018,52
Aug-2018,47
Sep-2018,46
Oct-2018,43
Nov-2018,44
Dec-2018,38
Jan-2019,49
Feb-2019,57
Mar-2019,68
Apr-2019,64
May-2019,56
Jun-2019,66
Jul-2019,55
Aug-2019,57
Sep-2019,56
Oct-2019,55
Nov-2019,50
Dec-2019,49
Jan-2020,59
Feb-2020,63
Mar-2020,59
Apr-2020,52
May-2020,64
Jun-2020,79
Jul-2020,83
Aug-2020,83
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
