,region,month_year,region_type,state_code,last_updated,state_name,active_listings,active_listings_yoy,homes_sold,homes_sold_yoy,homes_inventory,homes_inventory_yoy,median_dom,median_dom_yoy,median_sale_price,median_sale_price_yoy,months_of_supply,months_of_supply_yoy,new_listings,new_listings_yoy,pending_sales,pending_sales_yoy,region_type_id,month,year,month_code,month_year_code
1, National,04/01/12,National,US,9/13/2020 14:44,U.S.,2662923,-0.129866147,404927,8.90%,2155803,-16.30%,80,-17,178000,5.90%,5.323918033,-1.603823448,607611,-1.60%,309537,22.50%,11,April,2012,4,201204
6, National,08/01/12,National,US,9/13/2020 14:44,U.S.,2588402,-0.135913806,485480,15.00%,2048712,-17.10%,70,-16,190000,8.20%,4.219967837,-1.638612129,535612,2.00%,312523,20.90%,11,August,2012,8,201208
27, National,02/01/12,National,US,9/13/2020 14:44,U.S.,2516345,-0.12762318,304737,15.40%,2078931,-16.10%,97,-10,160000,-1.90%,6.822032612,-2.564297085,514822,6.20%,217907,25.70%,11,February,2012,2,201202
40, National,11/01/12,National,US,9/13/2020 14:44,U.S.,2284637,-0.144342144,398471,21.00%,1823542,-17.90%,73,-19,189000,11.30%,4.576347004,-2.165132775,385093,-2.40%,244892,22.40%,11,November,2012,11,201211
44, National,12/01/12,National,US,9/13/2020 14:44,U.S.,2093776,-0.162907839,391200,8.90%,1666931,-18.70%,76,-19,193000,13.70%,4.261063788,-1.443257735,297098,-6.90%,207831,12.80%,11,December,2012,12,201212
51, National,10/01/12,National,US,9/13/2020 14:44,U.S.,2450535,-0.123931706,423079,23.20%,1936114,-16.70%,73,-18,185000,9.80%,4.576241372,-2.195646708,485365,5.70%,286769,32.80%,11,October,2012,10,201210
60, National,03/01/12,National,US,9/13/2020 14:44,U.S.,2633522,-0.134310057,394034,7.70%,2120173,-16.30%,93,-12,171000,3.70%,5.380684661,-1.536574024,623807,-4.30%,285705,17.50%,11,March,2012,3,201203
61, National,05/01/12,National,US,9/13/2020 14:44,U.S.,2701969,-0.130564304,464281,16.90%,2163303,-16.90%,72,-17,186000,7.70%,4.65946451,-1.896595954,609587,0.50%,336533,22.40%,11,May,2012,5,201205
68, National,07/01/12,National,US,9/13/2020 14:44,U.S.,2632258,-0.133229982,451243,14.30%,2109202,-17.10%,68,-15,192000,7.20%,4.674203264,-1.771240294,540501,3.40%,311357,23.30%,11,July,2012,7,201207
81, National,09/01/12,National,US,9/13/2020 14:44,U.S.,2479901,-0.139113779,392397,4.60%,2010080,-16.30%,72,-18,187000,8.50%,5.122555559,-1.280398316,478355,0.40%,263101,19.20%,11,September,2012,9,201209
89, National,06/01/12,National,US,9/13/2020 14:44,U.S.,2678305,-0.141202064,487959,10.10%,2145658,-17.20%,68,-15,194000,7.70%,4.397208984,-1.448584175,576263,-2.80%,322922,16.60%,11,June,2012,6,201206
7, National,04/01/13,National,US,9/13/2020 14:44,U.S.,2402729,-0.097709947,459989,13.60%,1842873,-14.50%,60,-20,199000,12.00%,4.006342444,-1.317575589,687632,13.20%,388663,25.60%,11,April,2013,4,201304
16, National,02/01/13,National,US,9/13/2020 14:44,U.S.,2146657,-0.146914654,322111,5.70%,1715241,-17.50%,79,-18,181000,13.10%,5.324990198,-1.497042414,504844,-1.90%,251014,15.20%,11,February,2013,2,201302
28, National,10/01/13,National,US,9/13/2020 14:44,U.S.,2497254,0.019064947,447647,5.80%,1963663,1.40%,60,-13,210000,13.50%,4.38662488,-0.189616492,540417,11.30%,323565,12.80%,11,October,2013,10,201310
45, National,07/01/13,National,US,9/13/2020 14:44,U.S.,2562715,-0.026419548,548495,21.60%,1983624,-6.00%,52,-16,220000,14.50%,3.616485239,-1.057718025,648056,19.90%,397823,27.80%,11,July,2013,7,201307
46, National,09/01/13,National,US,9/13/2020 14:44,U.S.,2499150,0.007761874,448002,14.20%,1990299,-1.00%,58,-14,210000,12.20%,4.442604638,-0.679950921,548987,14.80%,320443,21.80%,11,September,2013,9,201309
52, National,12/01/13,National,US,9/13/2020 14:44,U.S.,2149710,0.026714308,408673,4.50%,1698019,1.90%,68,-8,212000,9.60%,4.154952006,-0.106111782,305918,3.00%,229297,10.30%,11,December,2013,12,201312
62, National,06/01/13,National,US,9/13/2020 14:44,U.S.,2518605,-0.059627209,526615,7.90%,1953106,-9.00%,52,-16,219000,12.50%,3.708793418,-0.688415566,648538,12.50%,395581,22.50%,11,June,2013,6,201306
69, National,03/01/13,National,US,9/13/2020 14:44,U.S.,2274132,-0.136467547,419901,6.60%,1758071,-17.10%,71,-22,193000,13.20%,4.186863199,-1.193821462,605960,-2.90%,329023,15.20%,11,March,2013,3,201303
